Year,Incumbent,Winner,Margin,Jobs,Income,Consumption,Production,Inflation,GDP,Stocks
1960,R,D,-0.17,0.421304741694903,3.76086426772805,3.45860004129672,-0.43640226315439,1.3959822948587,2.19390843738176,-2.97
1964,D,D,22.58,3.2187505453784,7.38489992733998,7.42671566532774,7.00776471871836,1.26609674277675,6.63380932137297,12.97
1968,D,R,-0.7,3.5655663870929,10.8801717408275,10.9410175596578,5.16569608337818,4.62598425196849,9.82382218168246,7.66
1972,R,R,23.15,4.32146865926401,12.2697894224755,10.91866426493,11.3065132321779,3.33333333333333,11.6447407663802,15.63
1976,R,D,-2.06,3.15423465756597,9.28984794170707,10.7934836471754,7.70311238790128,5.1869722557298,9.78765840764523,19.15
1980,D,R,-9.74,0.167080073309153,12.6784150444789,10.6823491500846,-1.77696453875094,12.5383603682595,9.60665344289751,25.77
1984,R,R,18.21,4.38748299319728,9.683199309191,7.97752019669829,5.30432323185467,4.15430267062315,9.32470130755848,1.4
1988,R,R,7.72,3.10151497077419,8.3496417604913,9.00050778605281,2.90289990063546,4.30635838150289,7.81780089992121,12.4
1992,R,D,-5.56,0.899406754627802,6.56102057465135,7.67910267414438,3.53406601910028,3.12197483059052,6.64474965440399,4.46
1996,D,D,8.51,2.32284597288744,6.37206611311786,5.87657414122765,5.61738696902962,3.23140316634136,6.26799111647012,20.26
2000,D,D,0.51,1.58292606284185,7.85965112627403,6.98259377045631,1.87480805562783,3.44349891153769,5.40975613648616,-10.14
2004,R,R,2.46,1.5483442524552,6.30491561515827,6.7631547909892,3.303309074138,3.38494778537991,6.41322624066086,8.99
2008,R,D,-7.27,-1.97029373623037,2.03620469939971,-0.303910584541491,-9.05228556391553,1.59580280267124,-0.726120141694312,-38.49
2012,D,D,3.86,1.61166365280289,6.15801857585141,3.29812659008558,2.12026323338926,1.90356783167093,3.64947953445277,13.41
2016,D,D,2.09,1.67803639401883,3.1086458613233,4.01340484731729,-0.822435904091681,1.80697985034569,3.54888602129728,9.54
2020,R,D,-4.45,-5.96681585171768,6.06143748655047,0.400419053765691,-4.70274596233013,1.2259844066675,0.55752819669452,16.26
2024,D,R,-1.48,1.2354502756789871,5.000882063861433,5.661942295554022,-0.2604709314440492,2.7197087208509827,5.03157982582549,6.803886303729291
