id,name,display_name,partisan,first_poll,last_poll,url,notes
1940,Grayhouse,Grayhouse,,2025-04-24,2025-09-26,https://www.grayhouse.com/,
1941,Searchlight Research,Searchlight Research,,2025-02-23,2025-02-23,https://searchlightresearchllc.com/,
1942,Elon U./YouGov,Elon University/YouGov,,2025-03-11,2025-03-11,https://www.elon.edu/u/elon-poll/,
1943,StimSight Research,StimSight Research,,2025-05-10,2025-07-24,https://stimsight.com/,
1944,Pantheon Insight/HarrisX,Pantheon Insight/HarrisX,,2025-05-13,2025-05-13,https://www.harrisx.com/,
1947,Stratus Intelligence,Stratus Intelligence,,2025-06-08,2025-09-25,,
1928,U. Texas/YouGov,Texas Politics Project at the University of Texas/YouGov,,2008-07-30,2025-09-01,https://texaspolitics.utexas.edu/,
1948,University of California Irvine/Truedot,University of California Irvine School of Social Ecology/Truedot,,2025-06-04,2025-06-26,https://sites.uci.edu/ocpoll/,
2,EPIC-MRA/Mitchell,EPIC-MRA/Mitchell,,1995-04-24,1996-07-17,,
1949,Merlin Strategy,Merlin Strategy,,2025-08-12,2025-08-12,https://merlinstrategy.com/,
1951,Citrin Center/Possibility Lab/TrueDot,University of California Berkeley Jack Citrin Center for Public Opinion Research/Possibility Lab/TrueDot,,2025-08-12,2025-08-12,https://citrincenter.berkeley.edu/,
1952,Verasight/The Argument,The Argument/Verasight,,2025-08-17,2025-09-18,https://www.theargumentmag.com/,
1953,Talker Research,Talker Research,,2025-08-26,2025-08-26,https://talkerresearch.com/,
1954,The Alabama Poll,The Alabama Poll,,2025-08-26,2025-08-26,https://alabamapoll.com/,"Revived with new leadership from the old version in the aughts, see pollster 18"
1956,Tavern Research,Tavern Research,,2025-07-31,2025-07-31,https://www.tavernresearch.com/,
1957,yes. every kid.,yes. every kid.,,2025-09-22,2025-09-22,https://yeseverykid.com/,
1958,Valcour,Valcour Global Public Strategy,,2025-09-24,2025-09-24,https://www.valcourllc.com/,
1950,Texas Southern University,Texas Southern University Barbara Jordan Public Policy Research and Survey Center,,2025-08-12,2025-08-12,http://www.tsu.edu/academics/colleges-and-schools/bjml-school-public-affairs/,
1955,Reveille Research,Reveille Research,,2025-09-06,2025-09-06,,
685,Becker Research,Becker Research,,1980-09-21,1980-10-16,,
69,Behavior Research Center,Behavior Research Center,,1984-04-09,2016-06-19,https://brc-research.com/,
688,Behavior Research Institute,Behavior Research Institute,,1980-10-03,1980-10-03,,
1781,Belden Russonello,Belden Russonello,,,,http://www.brspoll.com/,
53,Belden Russonello & Stewart,Belden Russonello & Stewart,,1992-02-24,2004-10-19,http://www.brspoll.com/,
875,Bellevue Journal American,Bellevue Journal American,,1992-09-28,1992-09-28,,
54,Bellwether,Bellwether Research & Consulting,,2004-02-15,2022-12-17,http://www.bellwether-research.com/,
1520,Benchmark Research,Benchmark Research,,2015-11-15,2019-10-21,https://www.thestate.com/news/politics-government/election/article236987669.html,
1329,Bendixen & Amandi International,Bendixen & Amandi International,,2006-09-16,2025-09-09,http://bendixenandamandi.com/,
1827,Bendixen & Amandi/Tarrance,Bendixen & Amandi International/Tarrance Group,,2016-03-05,2016-03-05,https://www.washingtonpost.com/graphics/politics/wapo-univision-florida-poll/,
55,Bendixen & Law,Bendixen & Law,,1988-05-16,1992-10-22,,
57,Benenson,Benenson Strategy Group,,2002-08-27,2024-07-15,https://www.bsgco.com/,
1609,Benenson Strategy Group/GS Strategy Group,BSG/GS Strategy Group,,2018-09-16,2024-09-25,https://ac32b1ba-8f5b-411f-91ab-b7ae9a046606.usrfiles.com/ugd/ac32b1_ea3fc74c5d06467da0fd05cdd91dcb8f.pdf,
1728,Benenson Strategy Group/Public Opinion Strategies,BSG/Public Opinion Strategies,,2021-10-18,2021-10-18,https://www.bsgco.com/,
58,Bennett Petts Blumenthal,Bennett Petts Blumenthal,,2002-06-16,2010-12-16,,
59,Bergen Record,Bergen Record,,1988-05-05,1996-08-05,,
835,Beth Schapiro & Associates,Beth Schapiro & Associates,,2000-10-09,2000-10-09,,
1873,Big Data Poll,Big Data Poll,,2023-07-12,2025-09-29,https://www.bigdatapoll.com/,
777,Big Ten,Big Ten,,2008-09-17,2008-10-22,http://www.bigtenpoll.org/,
1709,Big Village,Big Village,,2022-01-14,2024-10-23,https://big-village.com/,
924,Bill Johnson,Bill Johnson,,1992-11-18,1992-11-18,,
876,Bill Schreiber,Bill Schreiber,,1991-12-10,1991-12-10,,
60,Birmingham News,Birmingham News,,1984-11-03,2006-09-07,,
61,Birmingham Post-Herald,Birmingham Post-Herald,,1980-09-16,1992-10-14,,
649,Blake & Dickinson,Blake & Dickinson,,1979-11-16,1984-01-19,,
1452,Blink Insights,Blink Insights,,2018-08-04,2018-08-04,http://www.blink-insights.com/,
1638,Bluegrass Community and Technical College,Bluegrass Community and Technical College,,2020-10-28,2020-10-28,https://bluegrass.kctcs.edu/news/bctc-political-science-students-poll-local-voters.aspx,
1592,Bluegrass Data Analytics,Bluegrass Data,,2020-04-12,2020-07-29,https://bluegrassdataanalytics.com/,
1702,Blueprint Polling,Blueprint Polling,,2022-02-04,2025-03-14,https://blueprintpolling.com/,
63,Blum & Weprin,Blum & Weprin Associates,,1988-05-28,2010-10-27,,
1484,Blumenthal Research Daily,Blumenthal Research Daily,,2018-03-01,2018-04-16,https://blumenthalresearchdaily.weebly.com/,
1454,Bold Blue Campaigns,Bold Blue Campaigns,,2018-09-27,2019-02-11,https://www.boldbluecampaigns.com/,
1687,Bold Decision,Bold Decision,,2021-07-29,2022-10-20,https://www.bold-decision.com/bold-decision,
64,Boston Globe,Boston Globe,,1976-10-10,2006-03-08,,
